id,name,validfrom,validto
1,Bulk tipper,,
2,Car transporter,,
3,Coil carrier,,
4,Container,,
5,Curtain-sided,,
6,Drag trailer,,
7,Flatbed,,
8,Glass carrier,,
9,Hard-sided,,
10,Low loader,,
11,Refrigerated (FRC invalid),,
12,Refrigerated (FRC valid),,
13,Tanker,,
14,Tilt,,
15,Caravan,,
16,Small trailer,,
