id,iso31661alpha2,currency,currency code,countryid,validfrom,validto
173,NE,CFA Franc,XOF,159,,
174,SN,CFA Franc,XOF,195,,
175,TG,CFA Franc,XOF,222,,
176,NC,CFP Franc,XPF,156,,
177,PF,CFP Franc,XPF,82,,
178,WF,CFP Franc,XPF,244,,
179,YE,Rial,YER,246,,
180,ZA,Rand,ZAR,205,,
181,ZM,Kwacha,ZMW,247,,
182,ZW,Dollar,ZWL,248,,
